NIST STS cat test results
source_password=cat
stream_bits=1000000
runs=64
summary_csv=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/nist_summary.csv
results_root=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs

Sorted by fewest fail rows, then most pass rows:

candidate_index=3 pass_rows=188 fail_rows=0 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_03/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=5 pass_rows=188 fail_rows=0 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_05/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=6 pass_rows=188 fail_rows=0 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_06/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=7 pass_rows=188 fail_rows=0 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_07/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=18 pass_rows=188 fail_rows=0 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_18/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=28 pass_rows=188 fail_rows=0 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_28/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=30 pass_rows=188 fail_rows=0 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_30/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=39 pass_rows=188 fail_rows=0 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_39/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=59 pass_rows=188 fail_rows=0 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_59/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=2 pass_rows=162 fail_rows=0 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_02/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=24 pass_rows=162 fail_rows=0 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_24/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=41 pass_rows=162 fail_rows=0 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_41/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=56 pass_rows=162 fail_rows=0 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_56/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=1 pass_rows=187 fail_rows=1 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_01/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=10 pass_rows=187 fail_rows=1 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_10/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=36 pass_rows=187 fail_rows=1 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_36/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=45 pass_rows=187 fail_rows=1 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_45/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=55 pass_rows=187 fail_rows=1 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_55/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=13 pass_rows=161 fail_rows=1 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_13/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=14 pass_rows=161 fail_rows=1 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_14/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=46 pass_rows=161 fail_rows=1 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_46/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=49 pass_rows=161 fail_rows=1 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_49/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=57 pass_rows=161 fail_rows=1 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_57/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=0 pass_rows=186 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_00/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=8 pass_rows=186 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_08/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=9 pass_rows=186 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_09/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=12 pass_rows=186 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_12/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=16 pass_rows=186 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_16/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=19 pass_rows=186 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_19/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=25 pass_rows=186 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_25/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=26 pass_rows=186 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_26/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=29 pass_rows=186 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_29/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=33 pass_rows=186 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_33/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=37 pass_rows=186 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_37/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=40 pass_rows=186 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_40/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=42 pass_rows=186 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_42/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=52 pass_rows=186 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_52/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=53 pass_rows=186 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_53/AlgorithmTesting/finalAnalysisReport.txt
