folder_name,candidate_id,function_name,status,gate_status,fail,very_suspicious,suspicious,mildly_suspicious,unusual,normalish,normal,total_results,score_file,stream_file,report_file
candidate_0003279,3280,TwistCandidate_3280,REPORT,TOO_MANY_FAIL,4,0,1,0,1,0,40,46,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0003279/scores_practrand_c_034BLK.txt,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0003279/c_byte_stream_034BLK.bin,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0003279/practrand_c_034BLK.txt
candidate_0011043,11044,TwistCandidate_11044,REPORT,TOO_MANY_FAIL,3,1,0,0,1,0,41,46,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0011043/scores_practrand_c_034BLK.txt,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0011043/c_byte_stream_034BLK.bin,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0011043/practrand_c_034BLK.txt
candidate_0011855,11856,TwistCandidate_11856,REPORT,TOO_MANY_FAIL,4,1,0,0,2,0,39,46,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0011855/scores_practrand_c_034BLK.txt,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0011855/c_byte_stream_034BLK.bin,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0011855/practrand_c_034BLK.txt
candidate_0015376,15377,TwistCandidate_15377,REPORT,TOO_MANY_FAIL,4,1,1,2,0,0,38,46,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0015376/scores_practrand_c_034BLK.txt,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0015376/c_byte_stream_034BLK.bin,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0015376/practrand_c_034BLK.txt
candidate_0015681,15682,TwistCandidate_15682,REPORT,TOO_MANY_FAIL,4,0,0,0,0,0,42,46,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0015681/scores_practrand_c_034BLK.txt,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0015681/c_byte_stream_034BLK.bin,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0015681/practrand_c_034BLK.txt
candidate_0022159,22160,TwistCandidate_22160,REPORT,PASS,0,0,0,1,1,0,44,46,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0022159/scores_practrand_c_034BLK.txt,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0022159/c_byte_stream_034BLK.bin,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0022159/practrand_c_034BLK.txt
candidate_0025891,25892,TwistCandidate_25892,REPORT,TOO_MANY_FAIL,4,1,0,1,1,0,39,46,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0025891/scores_practrand_c_034BLK.txt,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0025891/c_byte_stream_034BLK.bin,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0025891/practrand_c_034BLK.txt
candidate_0044754,44755,TwistCandidate_44755,REPORT,TOO_MANY_FAIL,4,0,0,1,0,0,41,46,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0044754/scores_practrand_c_034BLK.txt,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0044754/c_byte_stream_034BLK.bin,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0044754/practrand_c_034BLK.txt
candidate_0047896,47897,TwistCandidate_47897,REPORT,TOO_MANY_FAIL,4,1,0,1,2,0,38,46,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0047896/scores_practrand_c_034BLK.txt,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0047896/c_byte_stream_034BLK.bin,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0047896/practrand_c_034BLK.txt
candidate_0049725,49726,TwistCandidate_49726,REPORT,TOO_MANY_FAIL,2,2,0,0,1,0,41,46,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0049725/scores_practrand_c_034BLK.txt,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0049725/c_byte_stream_034BLK.bin,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0049725/practrand_c_034BLK.txt
